Longitude,Latitude
36.861544,-5.177747
51.463766,5.392935
51.190492,4.453765
51.326247,6.085953
51.463766,5.392935
51.190492,4.453765
54.529777,9.029133
48.861686,2.293117
52.213888,10.523333
36.821091,-2.443153
38.964631,-2.884812
54.040938,14.010755
48.836108,2.381694
41.191395,-1.784323
48.836108,2.381694
48.836108,2.381694
48.836108,2.381694
52.213888,10.523333
49.997903,8.267671
49.995724,8.268733
49.995724,8.268733
36.71761,-4.417716
37.384867,-5.99195
45.073179,7.685483
45.072975,7.685558
49.098652,14.57669
45.431587,12.328484
50.449654,30.524268
51.437257,6.805558
53.228636,-0.541078
53.22863,-0.541681
48.161172,16.383388
48.161208,16.383388
48.168286,16.380847
48.165802,16.381891
48.165519,16.381988
53.227633,-0.543578
53.227636,-0.543578
53.227638,-0.543573
53.227644,-0.543581
53.227641,-0.5436
53.227669,-0.543573
53.227694,-0.543489
53.227666,-0.543581
53.227666,-0.543578
53.227677,-0.543603
53.228405,-0.5466
53.229244,-0.546075
53.228338,-0.54305
53.2284,-0.543064
53.228163,-0.54322
53.227677,-0.543598
54.536085,-1.052917
41.691994,15.632997
41.596522,15.813794
41.596511,15.813761
48.86825,2.779219
48.868222,2.779294
47.383363,10.892569
48.867887,2.33807
48.204746,16.368156
53.465833,-2.339445
53.465833,-2.339167
53.229461,-0.540345
53.23093,-0.539803
53.233536,-0.538806
53.233533,-0.538806
53.23255,-0.538489
51.507497,0.049062
52.109747,-10.466312
48.57458,13.464699
48.574786,13.465107
48.574829,13.465719
48.574197,13.467071
48.574403,13.468176
48.574119,13.468616
48.573956,13.469195
43.769271,11.255845
43.768427,11.253742
45.764027,4.832466
52.923593,-1.483358
43.677968,4.63093
43.677968,4.63093
43.677968,4.63093
43.270094,-2.940184
41.814397,-4.085448
50.039577,8.596791
48.711003,9.415594
48.711003,9.415594
38.692046,-9.215447
42.942352,0.28458
48.644633,-2.025545
53.234425,-0.535948
53.234425,-0.535948
53.234425,-0.535948
53.234425,-0.535948
53.234425,-0.535948
53.234425,-0.535948
53.234094,-0.536128
53.234108,-0.536109
53.234425,-0.535948
53.234425,-0.535948
53.234425,-0.535948
53.234425,-0.535948
53.234425,-0.535948
53.234425,-0.535948
53.234425,-0.535948
53.234425,-0.535948
53.234425,-0.535948
53.234425,-0.535948
